time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-26T21:29:18.600Z,34.538,141.7197,10,4.5,mb,,138,2.1,1.03,us,us10006syy,2016-09-26T22:09:08.040Z,"145km ESE of Katsuura, Japan",earthquake,4.3,1.9,0.121,20,reviewed,us,us
2016-09-26T20:15:12.530Z,-19.5324,177.7406,52.2,5.2,mb,,83,1.802,1.31,us,us10006sy5,2016-09-26T20:27:09.040Z,"170km SSW of Suva, Fiji",earthquake,9,8.9,0.098,34,reviewed,us,us
2016-09-26T19:04:15.580Z,8.3643,94.2746,10,4.7,mb,,121,3.601,0.91,us,us10006sx9,2016-09-27T16:47:13.040Z,"114km ENE of Mohean, India",earthquake,8.5,1.9,0.082,45,reviewed,us,us
2016-09-26T18:52:27.180Z,45.2264,147.0157,58.77,4.8,mb,,123,3.43,0.69,us,us10006sx4,2016-09-26T23:16:08.040Z,"68km W of Kuril'sk, Russia",earthquake,8.7,6.9,0.03,335,reviewed,us,us
2016-09-26T18:07:02.480Z,-30.6128,-178.0701,35.96,4.7,mb,,121,1.368,0.68,us,us10006swg,2016-09-26T18:52:04.040Z,"120km NE of L'Esperance Rock, New Zealand",earthquake,5.5,5.7,0.08,47,reviewed,us,us
2016-09-26T17:23:18.240Z,-21.3713,-179.2316,631.71,4.6,mb,,75,4.423,1.03,us,us10006sup,2016-09-26T19:32:53.040Z,"97km SW of Ndoi Island, Fiji",earthquake,12.5,6.8,0.041,176,reviewed,us,us
2016-09-26T15:48:53.640Z,30.2096,99.6066,20.08,4.9,mb,,36,7.374,0.89,us,us10006ste,2016-09-26T17:06:24.040Z,"105km SW of Rulong, China",earthquake,7.4,3.7,0.064,75,reviewed,us,us
2016-09-26T11:19:04.750Z,-28.1452,-111.5655,14.92,5,mb,,230,2.129,0.96,us,us10006src,2016-09-26T12:12:52.040Z,"237km WSW of Hanga Roa, Chile",earthquake,16.1,6.9,0.069,67,reviewed,us,us
2016-09-26T08:54:49.880Z,-10.1223,161.1581,79.95,4.6,mb,,54,1.373,0.76,us,us10006sq5,2016-09-26T09:21:33.040Z,"91km WNW of Kirakira, Solomon Islands",earthquake,8.8,7.3,0.07,60,reviewed,us,us
2016-09-26T08:08:38.890Z,-19.9911,-178.3495,591.53,4.5,mb,,48,4.073,0.9,us,us10006sq1,2016-09-26T08:25:27.040Z,"81km NNE of Ndoi Island, Fiji",earthquake,7.2,8.8,0.039,188,reviewed,us,us
2016-09-26T06:20:59.390Z,-54.8078,158.639,10,4.8,mb,,260,0.36,0.61,us,us10006sph,2016-09-26T07:15:04.040Z,"41km SSW of Macquarie Island, Australia",earthquake,4.5,2,0.139,16,reviewed,us,us
2016-09-26T05:19:58.220Z,27.4708,128.5599,40.25,6,mb,,42,0.682,1.02,us,us10006sp7,2016-09-27T17:00:41.000Z,"113km NNE of Nago, Japan",earthquake,6.4,6.2,0.027,520,reviewed,us,us
2016-09-26T05:17:25.140Z,-37.6653,179.478,10,4.8,mb,,148,0.935,1.05,us,us10006sp6,2016-09-26T07:45:56.040Z,"169km NE of Gisborne, New Zealand",earthquake,8.1,1.9,0.131,18,reviewed,us,us
